구별,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,살인,강도,강간,절도,폭력,범죄,검거
강남구,0.3076923076923084,0.6785714285714284,0.565243921042194,0.47096146110797155,0.7475830830771333,26,42,898,7700,8568,2.7700522014910356,17234
강동구,0.25000000000000044,1.0,0.5870653319283454,0.10670313148534816,0.3261816773491848,4,6,156,2366,2712,2.269950140762879,5244
강북구,1.0,0.8392857142857144,0.6555197421434324,0.48011956918142196,1.0,7,14,153,1434,2649,3.9749250256105686,4257
관악구,0.666666666666667,1.0,0.3960830479452053,0.0,0.0,9,12,320,2706,3298,2.062749714611872,6345
광진구,1.0,1.0,0.8373287671232874,0.4458258440963978,0.3445637603967686,4,14,240,3026,2625,3.627718371616454,5909
구로구,0.25000000000000044,0.3999999999999999,0.18722273680105284,0.2877032081409798,0.0901487528849696,8,15,281,2335,3007,1.2150746978270026,5646
금천구,1.0,1.0,0.6251020593304908,0.9999999999999998,0.7453363204505852,3,6,151,1567,2054,4.370438379781076,3781
노원구,1.0,1.0,0.246923023433697,0.22842819955677696,0.6357254480484809,10,7,197,2193,2723,3.111076671038955,5130
도봉구,1.0,1.0,1.0,0.5517798264043201,0.8814351386049548,3,9,102,1063,1487,4.433214965009275,2664
동대문구,1.0,1.0,0.695344049410088,0.40328692574188385,0.8551444165884661,5,13,173,1981,2548,3.9537753917404377,4720
동작구,1.0,0.0,0.0,0.1869471690156308,0.34941670069129493,5,9,285,1865,1910,1.5363638697069257,4074
마포구,1.0,0.3571428571428572,0.6879368185630419,0.048195592659752595,0.5084427219598204,8,14,294,2555,2983,2.601717990325472,5854
서대문구,1.0,0.5499999999999998,0.6197295854830103,0.3894254906361527,0.3647588831926605,2,5,154,1812,2056,2.923913959311823,4029
서초구,0.25000000000000044,0.24999999999999978,0.28474328139705096,0.41530727341151685,0.8611506598555216,16,18,786,5270,4798,2.0612012146640897,10888
성동구,1.0,0.7499999999999998,0.8915525114155249,0.2523550848518954,0.7538996043403827,4,9,126,1607,1612,3.647807200607803,3358
성북구,1.0,0.5499999999999998,0.6616438356164385,0.4194605710008046,0.45326721964431194,10,10,300,3570,4418,3.0843716262615546,8308
송파구,0.7272727272727275,0.48076923076923106,0.6273349937733499,0.16450413455563617,0.5210086027135219,11,13,220,3239,3295,2.5208896890844663,6778
양천구,1.0,0.6447368421052628,0.56053216667862,0.685941500061968,0.3466112857386001,10,19,382,3986,5716,3.237821794584451,10113
영등포구,0.5714285714285716,0.7954545454545454,0.2588808915718597,0.09324048444900335,0.3266368081546922,14,22,295,2964,3572,2.045641301058672,6867
용산구,1.0,1.0,0.7886950995622086,0.2734504206118753,0.3532799434940763,5,14,194,1557,2050,3.4154254636681607,3820
은평구,1.0,0.24999999999999978,0.7060158441987125,0.25225421324887076,0.7986935732037992,6,18,332,3828,5306,3.0069636306513825,9490
종로구,0.5000000000000004,0.590909090909091,0.5374277738102966,0.29733165732118794,0.48119529966146324,12,22,422,4368,4586,2.4068638217020393,9410
중구,0.0,0.24999999999999978,0.3225221595487511,0.12069527684545545,0.9615541048047298,6,18,340,5096,4448,1.654771541198936,9908
중랑구,0.7692307692307692,0.590909090909091,0.5928869679876934,0.3166698600082207,0.5201623592935931,13,11,187,2135,2847,2.7898590474293674,5193
